Text,Original_OCR,Latitude,Longitude,Method,Status,Source_Image
Kozhikode,Kozhikode,11.2450558,75.7754716,Original,Exact Match,8819000_h2_w6.png
Colombo,Colombo,6.9388614,79.8542005,Original,Exact Match,8819000_h2_w6.png
Dallas,Dallas,32.7762719,-96.7968559,Original,Exact Match,8826002_h4_w5.png
Loudi,Loudi,27.6995215,111.9890658,Geoapify (Corrected),Fixed Typo (Loud -> Loudi),8826002_h4_w5.png
Waco,Waco,31.5491899,-97.1474628,Original,Exact Match,8826002_h4_w5.png
Austin,Austin,30.2711286,-97.7436995,Original,Exact Match,8826002_h4_w5.png
Brits,Brits,-25.6297222,27.7841667,Geoapify (Corrected),Fixed Typo (bits -> Brits),8826002_h4_w5.png
Houston,Houston,29.7589382,-95.3676974,Original,Exact Match,8826002_h4_w5.png
San Antonio,San Antonio,29.4246002,-98.4951405,Original,Exact Match,8826002_h4_w5.png
Most,Most,50.5032737,13.636112,Original,Exact Match,8826002_h4_w5.png
Colorado,Colorado,38.7251776,-105.607716,Original,Exact Match,8826002_h4_w5.png
Ardea,Ardea,41.608712,12.519382,Geoapify (Corrected),Fixed Typo (AREA -> Ardea),8831000_h3_w4.png
Sterling,Sterling,41.788253,-89.6953656,Geoapify (Corrected),Fixed Typo ('STERLING -> Sterling),8831000_h3_w4.png
Trappes,Trappes,48.7760957,1.9988356,Geoapify (Corrected),Fixed Typo (TRAPPERS -> Trappes),8831000_h3_w4.png
Rivera,Rivera,45.1147797,7.4137652,Geoapify (Corrected),Fixed Typo (RIVER -> Rivera),8831000_h3_w4.png
Denver,Denver,39.7392364,-104.984862,Original,Exact Match,8831000_h3_w4.png
Santa Isabel,Santa Isabel,-23.3194222,-46.2271903,Geoapify (Corrected),Fixed Typo (SAN ISABEL -> Santa Isabel),8831000_h3_w4.png
Great Bend,Great Bend,38.3625063,-98.7804087,Original,Exact Match,8831000_h3_w4.png
Albuquerque,Albuquerque,35.0841034,-106.650985,Original,Exact Match,8831000_h3_w4.png
Casper,Casper,42.8501191,-106.325138,Original,Exact Match,8831000_h3_w4.png
Saratoga,Saratoga,37.2638324,-122.0230146,Original,Exact Match,8831000_h3_w4.png
Cheyenne,Cheyenne,41.139981,-104.820246,Original,Exact Match,8831000_h3_w4.png
Roosevelt,Roosevelt,48.8034101,-95.0982082,Original,Exact Match,8831000_h3_w4.png
Rivera,Rivera,45.1147797,7.4137652,Geoapify (Corrected),Fixed Typo (RIVER -> Rivera),8831000_h3_w4.png
Granby,Granby,41.9538298,-72.789313,Original,Exact Match,8831000_h3_w4.png
Tigre,Tigre,-3.05555545,-75.21183906129795,Geoapify (Corrected),Fixed Typo (IGRE -> Tigre),8831000_h3_w4.png
Vista,Vista,33.2021284,-117.2424787,Original,Exact Match,8831000_h3_w4.png
Cheyenne,Cheyenne,41.139981,-104.820246,Original,Exact Match,8831000_h3_w4.png
Chaman,Chaman,30.915948,66.4631051,Geoapify (Corrected),Fixed Typo (CHAMA -> Chaman),8831000_h3_w4.png
Carson,Carson,33.8322043,-118.2517547,Original,Exact Match,8831000_h3_w4.png
