Text,Latitude,Longitude,Status,Image
Kozhikode,11.2450558,75.7754716,Exact Match,8819000_h2_w6.png
Colombo,6.9388614,79.8542005,Exact Match,8819000_h2_w6.png
Dallas,32.7762719,-96.7968559,Exact Match,8826002_h4_w5.png
Loudi,27.6995215,111.9890658,Fixed Typo (Loud -> Loudi),8826002_h4_w5.png
Waco,31.5491899,-97.1474628,Exact Match,8826002_h4_w5.png
Austin,30.2711286,-97.7436995,Exact Match,8826002_h4_w5.png
Brits,-25.6297222,27.7841667,Fixed Typo (bits -> Brits),8826002_h4_w5.png
Houston,29.7589382,-95.3676974,Exact Match,8826002_h4_w5.png
San Antonio,29.4246002,-98.4951405,Exact Match,8826002_h4_w5.png
Most,50.5032737,13.636112,Exact Match,8826002_h4_w5.png
Colorado,38.7251776,-105.607716,Exact Match,8826002_h4_w5.png
Areia,-6.9680243,-35.6994783,Fixed Typo (AREA -> Areia),8831000_h3_w4.png
Sterling,41.788253,-89.6953656,Fixed Typo ('STERLING -> Sterling),8831000_h3_w4.png
Trappes,48.7760957,1.9988356,Fixed Typo (TRAPPERS -> Trappes),8831000_h3_w4.png
Rivera,45.1147797,7.4137652,Fixed Typo (RIVER -> Rivera),8831000_h3_w4.png
Denver,39.7392364,-104.984862,Exact Match,8831000_h3_w4.png
Santa Isabel,-23.3194222,-46.2271903,Fixed Typo (SAN ISABEL -> Santa Isabel),8831000_h3_w4.png
Great Bend,38.3625063,-98.7804087,Exact Match,8831000_h3_w4.png
Albuquerque,35.0841034,-106.650985,Exact Match,8831000_h3_w4.png
Casper,42.8501191,-106.325138,Exact Match,8831000_h3_w4.png
Saratoga,37.2638324,-122.0230146,Exact Match,8831000_h3_w4.png
Cheyenne,41.139981,-104.820246,Exact Match,8831000_h3_w4.png
Roosevelt,48.8034101,-95.0982082,Exact Match,8831000_h3_w4.png
Rivera,45.1147797,7.4137652,Fixed Typo (RIVER -> Rivera),8831000_h3_w4.png
Granby,41.9538298,-72.789313,Exact Match,8831000_h3_w4.png
Tigre,-3.05555545,-75.21183906129795,Fixed Typo (IGRE -> Tigre),8831000_h3_w4.png
Vista,33.2021284,-117.2424787,Exact Match,8831000_h3_w4.png
Cheyenne,41.139981,-104.820246,Exact Match,8831000_h3_w4.png
Chamba,13.074572,12.602644554104977,Fixed Typo (CHAMA -> Chamba),8831000_h3_w4.png
Carson,33.8322043,-118.2517547,Exact Match,8831000_h3_w4.png
Anta,-9.3576676,-77.598543,Fixed Typo (SANTA -> Anta),8831000_h3_w4.png
Anta,-9.3576676,-77.598543,Fixed Typo (SANTA -> Anta),8831000_h3_w4.png
Dessau,51.8309956,12.2430723,Exact Match,8880003_h5_w5.png
Naumburg,51.1525648,11.8099186,Exact Match,8880003_h5_w5.png
Erfurt,50.9777974,11.0287364,Exact Match,8880003_h5_w5.png
Jena,31.6832271,-92.1337448,Exact Match,8880003_h5_w5.png
Altena,51.2990263,7.6734841,Fixed Typo (ALTEN -> Altena),8880003_h5_w5.png
Halle,51.4824354,11.9712985,Exact Match,8880003_h5_w5.png
Merseburg,51.3564413,11.996148,Fixed Typo (MERSBBURG -> Merseburg),8880003_h5_w5.png
Leipzig,51.3406321,12.3747329,Fixed Typo (LEIPZIG: -> Leipzig),8880003_h5_w5.png
Frisco,37.7792588,-122.4193286,Exact Match,8883002_h11_w14.png
Chato,34.6308937,-106.3489078,Fixed Typo (Chatom -> Chato),8883002_h11_w14.png
Coity,51.5212979,-3.5539979,Fixed Typo (City -> Coity),8883002_h11_w14.png
Geneva,46.2017559,6.1466014,Exact Match,8883002_h11_w14.png
Banbridge,54.3514168,-6.2714623,Fixed Typo (Bainbridge -> Banbridge),8883002_h11_w14.png
Quincy,42.2509914,-71.0037374,Exact Match,8883002_h11_w14.png
Mobile,30.6913462,-88.0437509,Exact Match,8883002_h11_w14.png
Milton,42.2501425,-71.065573,Exact Match,8883002_h11_w14.png
Springs,41.0162112,-72.1592444,Fixed Typo (Springs! -> Springs),8883002_h11_w14.png
Tallahassee,30.4380832,-84.2809332,Fixed Typo (Tallahass -> Tallahassee),8883002_h11_w14.png
Daphne,30.6035255,-87.9036047,Exact Match,8883002_h11_w14.png
Fairhope,30.5231647,-87.9028458,Exact Match,8883002_h11_w14.png
Moss,32.997821,-115.4077613,Exact Match,8883002_h11_w14.png
Foley,45.663512,-93.9137277,Exact Match,8883002_h11_w14.png
Matui,1.0383448,127.5392028,Fixed Typo (MAUI -> Matui),8883002_h11_w14.png
Pala,33.3653102,-117.076696,Exact Match,8883002_h11_w14.png
Handa,34.8938136,136.9369523,Fixed Typo (Hana -> Handa),8883002_h11_w14.png
Kahului,20.8894101,-156.4727118,Exact Match,8883002_h11_w14.png
Dothan,31.2237285,-85.3934375,Exact Match,8883002_h11_w14.png
Hartford,41.764582,-72.6908547,Exact Match,8883002_h11_w14.png
Lakeville,44.650051,-93.2432791,Fixed Typo (Leakesville -> Lakeville),8883002_h11_w14.png
Valparaiso,41.4672552,-87.0604487,Exact Match,8883002_h11_w14.png
Pensacola,30.421309,-87.2169149,Exact Match,8883002_h11_w14.png
Springfield,39.7990175,-89.6439575,Exact Match,8883002_h11_w14.png
Rosas,2.2621018,-76.7392875,Fixed Typo (Rosa -> Rosas),8883002_h11_w14.png
Pascagoula,30.3646795,-88.5585995,Fixed Typo (ascagoula -> Pascagoula),8883002_h11_w14.png
Alton,38.8908583,-90.1843091,Fixed Typo (Walton -> Alton),8883002_h11_w14.png
Rosas,2.2621018,-76.7392875,Fixed Typo (Rosa -> Rosas),8883002_h11_w14.png
